"argument_id","frame_id","frame","topic_id","topic","premise","stance","conclusion","conclusion_hash","premise_hash"
"5573","0","economics","599","Fish farming ban","One of fish farming's most positive aspects is the resulting economic benefits to a country's economy."" Case studies in the the West Coast of Canada, Uzbekistan, China, Norway.","Con","Fish farming is economically beneficial","893b95fc7a86c7cb23876d6232e18034","ef952560afc2d56758caa1859e5539cd"
"10835","0","economics","1182","Prohibition of downloading music and films","Although file sharing has increased in recent years, so have online music sales. Most researchers believe that teens and college students make up the majority of illegal downloaders. This group represents those who are ""money-poor but time-rich"", which suggests that they wouldn't have bought the files legally even if they weren't able to get them by illegal means. Thanks to the increasing popularity of file sharing, music artists are becoming more and more popular. Although some people claim that money is lost through file sharing (because people would download free (and illegal) music instead of buying from iTunes, etc.), popular music artists such as Prince (who offered a free song for the purpose of gaining popularity) see more attendance at their concerts. File sharing actually benefits the artists, but could be hurting the recording industries because research showed that CD sales have decreased. Most of the money made from CD's go to retail stores, advertising companies, and other ""middlemen"", not the artist.","Con","According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.","fed2c81345d9c8674a6a8bf9fb83b38b","99c0944e1de32366d8186baf48bd243f"
"8122","0","economics","869","Kyoto Protocol","It seems reasonable to expect the world's leading economies and emitters to devote as much money to this challenge as they currently spend on military research -- in the case of the United States about $80 billion a year.","Pro","Government can cut-back on military spending to pay for Kyoto","a7ce17dd14da5f937814b5b5468042a6","b18c301aec7e5199ef6348ab343ceb91"
"4629","0","economics","503","Education vouchers","Education does not fit well into a fungible supply/demand system. The main reason is that the supply of schools cannot adjust quickly to year-to-year changes in demand. Schools cannot be built overnight or within even a single year. And, schools cannot rapidly adjust their budgets because demand rises and falls dramatically from one year to the next, via school vouchers. Schools are, rather, long-term investments for long-term demographic trends, with the objective of supplying the public with a stable public good - education. This stable supply of education should not be subjected to the whims of shifts in year-to-year demand.","Con","Public schools are a public good; should not be subjected to market.","e137fb461b06b70fa78f0829b5a4d9f5","4265a004f4de8479110c737fb87ae5d7"
"4792","0","economics","523","Employee Free Choice Act","Employers Must Consider Year-Round Campaign. EFCA allows a union to gather signatures without the employer knowing anything about it until the union asks the NLRB for certification. At that point, it is too late for the employer to do anything about it. Facing that scheme, an employer would have to consider seriously communicating with employees throughout the year about the benefits of operating union-free. This not only would be a major distraction for the entire business, but also any discipline would take place in the context of the employer campaigning against the union. The odds of any adverse employment action becoming the subject of an unfair labor practice charge would increase dramatically.","Con","EFCA would force employers to campaign year-round","82c51f9fb54b4504d866f7369079b1b0","0bd3502f6dd05152dbe099303bcd5e7c"
"6779","0","economics","701","Health insurance cooperatives","As a concept, health insurance co-ops are attractive because ostensibly, they would be run by the consumer, for the benefit of the consumer, and with no profit motive, premiums theoretically should be cheaper. But in practice, we are liable to get a much different animal with the same kind of inefficiency and administrative waste we see in government run health insurance entities like Medicare or Medicaid.","Con","Co-ops are equally inefficient as public insurance","3a1bf79752965226d6399d928520b2e7","814e012416812f4d9833467c6465dfb2"
"1924","0","economics","172","Trans fat ban","We would sympathize with the opponents of the trans fat ban if it weren't so easy and inexpensive to use other, less harmful products without significantly altering the taste of the food. Kraft recently eliminated trans fats from its Oreo cookies. Could you tell? Similarly, Wendy's tested its new frying oil in 370 franchises, and customers didn't notice the difference. Denmark imposed a national ban on trans fats with which even McDonald's has complied. Since trans fats aren't irreplaceable, objections for the sake of consumer freedom are also unconvincing. As with lead added to paint, trans fats are unnecessary additives to consumer products that can cause significant harm -- and many Americans don't even know they are in the restaurant food they are eating.","Pro","Trans fats can be replaced w/o changing taste/price.","24815cfcb61e975125e7aae611b42c52","6c2edd6140e6577b5cc1a2ae4f2006c8"
"5752","0","economics","630","Full-body scanners at airports","They can cost around $150,000 each. This is very expensive, when considering that any proposal to have a comprehensive system of full-body scanners in nations internationally would require hundreds of these machines. This is particularly true when you consider that many of these machines must be placed in an airport in order to maintain short security lines.","Con","Full-body scanners are very expensive.","286d97c7218f19034b321e820390bf89","feb8b7290139f2c86f658affaa5225bd"
"2477","0","economics","258","Carbon emissions trading","One of the strongest pieces of evidence supporting this argument is the United States sulfur dioxide cap-and-trade system, in which the economic costs of acid rain damage was dramatically reduced. According to the EPA, the benefits of the 1990 amendments exceeded implementation costs by a factor of four, with a maximum estimate of $1.4 trillion.","Pro","Emissions trading reduces economic costs of greenhouse gas emissions.","3c111dfc7ac6edda31787f7f37920bfb","da8f1b8a9b6e519d4cbd55ff2b94d265"
"12381","0","economics","1632","The UN should prioritize poverty over climate change","Money to climate change has more positive effects and thus ""goes further"" than money directed toward poverty. It staves-off climate change, creates green jobs for the poor, provides cheaper energy to the poor, and reduces pollution that impairs the health of the poor and wealthy alike. It also increases international energy security by diversifying energy sources. The overarching, diverse economies of the UN using money to address climate change, therefore, are superior to the economies of poverty reduction.","Con","UN money can have more effects in fighting climate change than poverty.","defe640d6a59a9bc4d4258fe21853150","fbc07c413453f9071ec81d49d8375930"
